disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Plantar Fasciitis,pain after prolonged standing,pain decreasing after walking but returning after rest,tenderness at heel bone base,heel pain (especially first steps in morning),stiffness in foot,,,
Cholera,sudden vomiting,low blood pressure,dry mouth,sunken eyes,shock,reduced skin turgor,profuse watery diarrhoea (rice-water stools),
Cataract,double vision in one eye,sensitivity to light and glare,poor night vision,cloudy or blurred vision,fading colours,halos around lights,frequent changes in glasses prescription,
Myocardial Infarction,sweating,jaw pain,dizziness,nausea,anxiety,crushing chest pain,shortness of breath,
Oral Candidiasis (Thrush),redness at corners of mouth (angular cheilitis),loss of taste,white patches in mouth,cotton-like sensation in mouth,difficulty swallowing,soreness inside mouth,,
HIV Infection,weight loss,night sweats,rash,sore throat,opportunistic infections (advanced),,,
Irritable Bowel Syndrome,symptoms triggered by stress,alternating diarrhoea and constipation,urgency,constipation,,,,
Common Cold,malaise,mild fever,runny nose,headache,sneezing,nasal congestion,loss of smell,
Crohn's Disease,perianal fistula,diarrhoea,mouth sores,blood in stool,weight loss,fatigue,,
Haemorrhoids,swelling around anus,leakage of faeces,prolapse of haemorrhoid,discomfort sitting,,,,
Epiglottitis,drooling,rapidly worsening sore throat,stridor,high fever,difficulty swallowing,muffled voice ('hot potato' voice),,
Heart Failure,persistent cough,rapid weight gain,paroxysmal nocturnal dyspnoea,fatigue,reduced exercise tolerance,shortness of breath,,
Haemophilia A,excessive bleeding from minor cuts,joint pain and swelling,spontaneous joint bleeds,bruising easily,blood in urine,prolonged bleeding after surgery or dental work,internal bleeding,
Anaemia,poor concentration,brittle nails,headache,dizziness,irregular heartbeat,pallor (pale skin),shortness of breath,cold hands and feet
Typhoid Fever,sustained fever,headache,loss of appetite,relative bradycardia,abdominal pain,,,
Attention Deficit Hyperactivity Disorder,easily distracted,hyperactivity,difficulty following instructions,talking excessively,,,,
Hearing Loss,dizziness,tinnitus,ringing in ears,turning up TV volume,muffled sounds,trouble hearing high-pitched sounds,asking others to repeat,
Narcolepsy,sudden muscle weakness (cataplexy),sleep paralysis,automatic behaviour,difficulty concentrating,,,,
Hypo-thyroidism,fatigue,dry skin,slow heart rate,constipation,,,,
Panic Disorder,shortness of breath,chest pain,fear of losing control,nausea,numbness or tingling,,,
Psoriasis,itching,thick silvery scales on skin,shedding skin,burning sensation,nail pitting,swollen joints (psoriatic arthritis),red patches covered with scales,dry cracked skin
Temporomandibular Joint Disorder,difficulty chewing,jaw pain,pain in and around ear,locking of jaw,,,,
Anorexia Nervosa,amenorrhoea,fatigue,cold intolerance,hair thinning,,,,
Anorexia Nervosa,bone weakness,distorted body image,fatigue,intense fear of weight gain,dizziness,,,
Polycythemia Vera,redness of face,large spleen,dizziness,fatigue,,,,
Malignant Melanoma,changing mole (ABCDE criteria),irregular border mole,new pigmented skin lesion,asymmetric mole,diameter >6 mm,multiple colours in mole,evolving mole,
Alzheimer's Disease,confusion with time/place,language difficulty,poor judgment,mood and personality changes,withdrawal from social activities,misplacing items,trouble with familiar tasks,memory loss affecting daily function
Pneumonia,bluish lips,productive cough,fever,fatigue,sweating,rapid breathing,,
Myocardial Infarction,loss of consciousness,sweating,chest pain radiating to left arm,nausea,jaw pain,crushing chest pain,dizziness,anxiety
Polycythemia Vera,fatigue,headache,sweating,blood clots,blurred vision,itching after bath/hot water,weight loss,dizziness
Lung Cancer,loss of appetite,fatigue,hoarseness,persistent cough,shortness of breath,coughing up blood,bone pain,chest pain
Hemochromatosis,joint pain,liver enlargement,impotence,hypogonadism,fatigue,abdominal pain,heart problems,
Major Depressive Disorder,changes in appetite,loss of interest,concentration difficulty,slowed thinking,sleep disturbances,persistent sadness,fatigue,
Scoliosis,fatigue,rib prominence on one side,uneven shoulders,uneven waist,back pain,,,
Alzheimer's Disease,language difficulty,difficulty problem solving,mood and personality changes,poor judgment,withdrawal from social activities,misplacing items,confusion with time/place,memory loss affecting daily function
Panic Disorder,sudden intense fear,trembling,shortness of breath,racing heart,numbness or tingling,fear of losing control,sweating,
Dengue Fever,low platelet count,pain behind eyes,fatigue,joint pain,loss of appetite,vomiting,nausea,mild bleeding gums
Polycystic Kidney Disease,blood in urine (haematuria),headache,back or flank pain,abdominal fullness,kidney stones,high blood pressure,urinary tract infections,kidney failure (late)
Whooping Cough (Pertussis),cyanosis during coughing fits,paroxysmal cough with 'whooping' sound,cough lasting >3 weeks,post-cough vomiting,apnoea in infants,runny nose,,
Asthma,cough at night,chest tightness,shortness of breath,wheezing,exercise-induced breathlessness,chronic cough,,
Coronary Artery Disease,chest tightness,palpitations,nausea,shortness of breath on exertion,sweating,chest pain (angina),,
Hyperthyroidism,diarrhoea,bulging eyes (Graves'),sweating,heat intolerance,nervousness,,,
Breast Cancer,nipple inversion,swollen lymph nodes in armpit,nipple discharge,breast lump,,,,
Huntington's Disease,personality changes,irritability,depression,involuntary movements (chorea),slurred speech,cognitive decline,balance difficulty,swallowing difficulty
Portal Hypertension,ascites (fluid in abdomen),encephalopathy,splenomegaly,anaemia,jaundice,oesophageal varices,bleeding from varices,dilated abdominal veins
Cataract,cloudy or blurred vision,sensitivity to light and glare,double vision in one eye,poor night vision,,,,
Acute Respiratory Distress Syndrome,cyanosis,hypoxaemia despite oxygen,rapid breathing,confusion,severe breathlessness,low oxygen levels,bilateral lung infiltrates on X-ray,extreme fatigue
Stroke,speech difficulty,loss of balance,numbness one side of body,sudden severe headache,vision problems,,,
Acute Respiratory Distress Syndrome,hypoxaemia despite oxygen,cyanosis,extreme fatigue,confusion,,,,
Polycystic Kidney Disease,headache,high blood pressure,urinary tract infections,abdominal fullness,kidney stones,back or flank pain,,
Cholecystitis,chills,jaundice (if bile duct blocked),nausea,vomiting,pain after fatty meal,fever,Murphy's sign positive,
Bipolar Disorder,psychosis (severe mania),grandiosity,reduced need for sleep (mania),impulsive behaviour,episodes of depression,,,
Septic Shock,extreme fatigue,decreased urine output,confusion,organ dysfunction,,,,
Cerebral Palsy,speech problems,intellectual disability,poor coordination,spasticity (muscle stiffness),weakness,abnormal gait,seizures,vision/hearing problems
Tetanus,muscle stiffness,rapid heartbeat,sweating,muscle spasms,fever,difficulty swallowing,,
Gastritis,dark stools,vomiting,feeling of fullness,belching,,,,
Chronic Fatigue Syndrome,orthostatic intolerance,flu-like symptoms,sensitivity to light and sound,profound fatigue lasting >6 months,post-exertional malaise,,,
Influenza,severe headache,sore throat,sneezing,dry cough,runny nose,congestion,chills,body aches
Osteoarthritis,tenderness on joint pressure,crackling or grating sound,fatigue,joint stiffness (especially morning),joint pain worsening with activity,joint swelling,reduced range of motion,bony growths at joint
Preeclampsia,oedema,headache,upper right abdominal pain,hypertension in pregnancy (BP >140/90),decreased urine output,visual disturbances,nausea,
Cataract,frequent changes in glasses prescription,poor night vision,halos around lights,double vision in one eye,sensitivity to light and glare,,,
Addison's Disease,hyperpigmentation (bronze skin),vomiting,salt craving,abdominal pain,fatigue,weight loss,,
Diverticulitis,bloating,vomiting,left lower abdominal pain,rectal bleeding (complicated),,,,
Pelvic Inflammatory Disease,pain during intercourse,vomiting,vaginal discharge,fever,pelvic or lower abdominal pain,irregular menstrual bleeding,cervical motion tenderness,nausea
Dehydration,rapid heartbeat,dizziness,dry mouth,headache,,,,
Gestational Diabetes,diagnosed via glucose tolerance test in pregnancy,increased thirst,blurred vision,often asymptomatic,frequent urination,,,
Asthma,mucus production,shortness of breath,chronic cough,cough at night,exercise-induced breathlessness,difficulty breathing,,
Hepatitis C,loss of appetite,fatigue,fever,muscle aches,often asymptomatic initially,dark urine,jaundice,joint pain
Chickenpox,spots that become blisters then crust,headache,malaise,loss of appetite,itchy blister rash,,,
Anaemia,headache,cold hands and feet,shortness of breath,fatigue,dizziness,,,
Schizophrenia,cognitive impairment,disorganized thinking,social withdrawal,delusions,disorganized speech,,,
Heart Failure,rapid weight gain,reduced exercise tolerance,shortness of breath,persistent cough,fatigue,swollen ankles and legs,,
Rotator Cuff Injury,shoulder pain worsening with arm raising,clicking or popping in shoulder,reduced range of motion,difficulty reaching behind back,pain at night (lying on affected side),weakness in shoulder,,
Haemorrhoids,discomfort sitting,prolapse of haemorrhoid,leakage of faeces,swelling around anus,itching around anus,pain and discomfort,,
Chronic Kidney Disease,nausea,sleep problems,fatigue,itching,shortness of breath,,,
Sleep Apnea,difficulty concentrating,dry mouth on waking,morning headache,gasping during sleep,,,,
Malaria,chills,splenomegaly,headache,fatigue,sweating,jaundice,rigors,vomiting
Addison's Disease,fatigue,depression,muscle weakness,weight loss,vomiting,hyperpigmentation (bronze skin),nausea,
Alcohol Use Disorder,continued use despite consequences,morning drinking,blackouts,"withdrawal symptoms (tremor, sweating)",strong craving for alcohol,inability to limit drinking,,
Meningitis,nausea,vomiting,sensitivity to light,seizures,sensitivity to sound,,,
Autism Spectrum Disorder,restricted interests,repetitive behaviours,sensory sensitivities,difficulty with change in routine,,,,
Dengue Fever,severe headache,skin rash,loss of appetite,mild bleeding gums,muscle pain,high fever,vomiting,
HIV Infection,fatigue,swollen lymph nodes,night sweats,rash,sore throat,diarrhoea,,
Anaemia (Iron Deficiency),pallor,fast heartbeat,restless legs,cold hands and feet,fatigue and weakness,pica (craving non-food items),,
Addison's Disease,weight loss,nausea,muscle weakness,dizziness,low blood pressure,salt craving,vomiting,
Temporomandibular Joint Disorder,headache,pain in and around ear,aching facial pain,neck and shoulder pain,difficulty chewing,locking of jaw,jaw clicking or popping,jaw pain
Retinal Detachment,curtain shadow over vision,sudden blurred vision,loss of central vision (macula detachment),sudden flashes of light,,,,
Acromegaly,enlarged tongue,headache,enlarged hands and feet,sleep apnoea,facial feature changes (enlarged jaw/brow),excessive sweating,,
Ulcerative Colitis,abdominal cramping,weight loss,urgency to defecate,bloody diarrhoea,rectal bleeding,fever (in flares),,
Obsessive-Compulsive Disorder,hoarding,distress when rituals interrupted,repetitive behaviours (compulsions),symmetry concerns,excessive checking,fear of contamination,time-consuming rituals,
Cystic Fibrosis,fatty stools,clubbing of fingers,persistent cough with thick mucus,nasal polyps,breathlessness,digestive problems,poor growth,frequent lung infections
Migraine,sensitivity to sound,visual aura,nausea,sensitivity to light,throbbing headache (one side),blurred vision,fatigue after attack,
Conjunctivitis,increased sensitivity to light,watery eyes,red eyes,crusting of eyelids in morning,burning sensation,blurred vision,,
Huntington's Disease,balance difficulty,sleep disturbances,involuntary movements (chorea),personality changes,psychiatric symptoms,,,
Sciatica,pain worsening on sitting,numbness in leg or foot,pain from hip to calf or foot,weakness in leg,shooting pain from lower back down the leg,tingling in leg,pain along sciatic nerve path,
Hyperthyroidism,nervousness,fatigue,tremor,heat intolerance,weight loss,increased appetite,,
Heat Stroke,seizures,rapid breathing,nausea,loss of consciousness,confusion or altered consciousness,hot dry skin (no sweating),,
Prostate Cancer,pelvic discomfort,frequent urination (especially at night),weak urine stream,erectile dysfunction,difficulty urinating,often asymptomatic (early),,
Alcohol Use Disorder,strong craving for alcohol,inability to limit drinking,"withdrawal symptoms (tremor, sweating)",morning drinking,blackouts,,,
Atrial Fibrillation,fatigue,dizziness,fainting,anxiety,chest discomfort,shortness of breath,palpitations,
Chronic Obstructive Pulmonary Disease,frequent respiratory infections,chest tightness,increased mucus production,cyanosis (late),fatigue,,,
Carpal Tunnel Syndrome,tingling and numbness in thumb and fingers,weakness of grip,dropping objects,pain radiating up forearm,symptoms worse at night,,,
Kawasaki Disease,red cracked lips,strawberry tongue,rash on trunk,swollen hands and feet,red eyes (conjunctivitis),peeling skin on fingers,swollen lymph nodes in neck,
