disease,medicine,dosage,precautions,severity
Varicose Veins,Sclerotherapy,Specialist-injected sclerosant into varicose vein under ultrasound guidance,"Specialist vascular procedure; compression stockings after; avoid exercise for 24 h; risk of DVT, skin staining; VenaSeal or thermal ablation for larger veins",Mild
Portal Hypertension,Terlipressin (Variceal Bleed),2 mg IV every 4 hours until bleeding controlled then 1 mg every 4 hours for up to 5 days,Vasopressin analogue; reduces portal pressure; ICU setting; risk of ischaemia — use cautiously in coronary artery disease; concurrent antibiotic prophylaxis required,Critical
Sciatica,Naproxen,500 mg twice daily with food for up to 2 weeks,"NSAID for acute pain; take with food; avoid in renal impairment, peptic ulcer; add PPI in high-risk patients; short-term only",Mild
Peripheral Artery Disease,Cilostazol,100 mg twice daily (30 min before or 2 h after meals),Reduces claudication symptoms; contraindicated in heart failure; improves walking distance; check CYP2C19 drug interactions; not curative,Moderate
Migraine,Ibuprofen,400–600 mg at onset; may repeat after 6–8 h,Take with food; avoid in peptic ulcer; use early in migraine; short-term only,Mild
Dehydration,IV Normal Saline (0.9%),500 mL–1 L IV bolus over 15–30 min (severe dehydration/shock),Hospital setting; monitor electrolytes; switch to maintenance fluids after stabilisation; measure urine output hourly,Severe
Cervical Cancer,Cisplatin (Chemotherapy),40 mg/m² IV weekly concurrent with radiotherapy,High emetogenic potential — use prophylactic antiemetics; nephrotoxic — hydrate aggressively; audiometry monitoring; specialist oncology team,Critical
Diverticulitis,Ciprofloxacin + Metronidazole (IV),Ciprofloxacin 400 mg IV every 12 h + Metronidazole 500 mg IV every 8 h,For complicated/severe diverticulitis; IV followed by oral; bowel rest; surgical consultation for perforation or abscess; CT confirmation recommended,Severe
Myocardial Infarction,Morphine Sulfate,2–4 mg IV; may repeat every 5–15 min (pain control),Monitor for respiratory depression; antiemetic co-administration; may mask symptoms of deterioration; use cautiously in hypotension,Critical
Sickle Cell Disease,Morphine Sulfate (Pain Crisis),0.1–0.2 mg/kg IV/subcutaneous every 2–4 hours; patient-controlled analgesia,Titrate to pain relief; respiratory monitoring; multimodal analgesia; avoid meperidine (normeperidine seizure risk); adequate hydration,Severe
Chickenpox,Calamine Lotion,Apply topically to itchy areas 3–4 times daily,External use only; helps relieve itching; trim fingernails to prevent scratching and secondary infection,Mild
Influenza,Oseltamivir (Tamiflu),75 mg twice daily for 5 days; start within 48 h of symptom onset,May cause nausea; take with food; not a substitute for annual flu vaccine,Moderate
Hearing Loss,Hearing Aid (Amplification),Custom-fitted hearing aid prescribed by audiologist,Not suitable for all causes; regular audiological follow-up; batteries need regular replacement; gradual acclimatization,Moderate
Measles,Vitamin A Supplementation,"200,000 IU orally on 2 consecutive days (children over 1 year)",Reduces mortality; give to all children with measles; repeat dose after 4 weeks if deficiency signs present,Moderate
Insomnia,Zolpidem,5–10 mg immediately before bedtime; max 4 weeks,"Short-term use only; risk of dependence, sleepwalking, next-day impairment; avoid alcohol; elderly use 5 mg only; do not drive next morning",Mild
Kidney Stones,Ketorolac (IV/IM),30 mg IV or 60 mg IM as single dose; max 5 days,Potent NSAID analgesic; avoid in renal failure; short-term use only; risk of GI bleeding,Moderate
Pneumonia,Amoxicillin,500 mg three times daily for 5–7 days (community-acquired),Complete full course; check for penicillin allergy; monitor renal function,Moderate
Preeclampsia,Labetalol,200 mg orally twice daily (start); IV 20–80 mg boluses for hypertensive emergencies,Safe antihypertensive in pregnancy; avoid in asthma; monitor fetal heart rate; hospitalisation for severe preeclampsia,Severe
Deep Vein Thrombosis,Low Molecular Weight Heparin (Enoxaparin),1.5 mg/kg subcutaneously once daily or 1 mg/kg twice daily,Subcutaneous injection; monitor anti-Xa levels in renal impairment; HIT risk (lower than UFH); can be used in pregnancy,Moderate
Raynaud's Disease,Nifedipine (Modified Release),10–30 mg once daily; titrate to 60 mg once daily,"First-line calcium channel blocker; avoid immediate-release for Raynaud's; oedema and headache; avoid with strong CYP3A4 inhibitors (e.g. clarithromycin); lifestyle: keep warm, stop smoking",Mild
Muscular Dystrophy (Duchenne),Deflazacort (Corticosteroid),0.9 mg/kg/day orally,Slows disease progression; weight gain; osteoporosis risk (calcium/vitamin D supplements); cataract monitoring; cushingoid features; do not stop abruptly,Severe
Gastritis,Omeprazole (PPI),20–40 mg once daily before breakfast for 4–8 weeks,Long-term use may reduce magnesium/B12; monitor bone density with prolonged use; avoid with clopidogrel,Moderate
Anaphylaxis,Adrenaline (Epinephrine) 1:1000,0.5 mg (0.5 mL) IM in outer mid-thigh immediately; repeat after 5 min if no improvement,FIRST-LINE EMERGENCY TREATMENT; call 999/ambulance immediately; lay flat with legs elevated (unless breathing difficulty); adrenaline auto-injector for known anaphylaxis,Critical
Myocardial Infarction,Aspirin + Clopidogrel (Dual Antiplatelet),Aspirin 300 mg loading then 75 mg daily; Clopidogrel 600 mg loading then 75 mg daily,Emergency chew aspirin immediately; dual therapy for minimum 12 months post-STEMI; PPI cover for GI protection; bleeding risk,Critical
Tetanus,Tetanus Immunoglobulin (TIG),500 IU IM (prophylaxis) or 3000–6000 IU IM (treatment),Medical emergency — ICU required; wound debridement; metronidazole 500 mg IV every 6 h for infection; diazepam for spasms; mechanical ventilation may be needed,Critical
Chickenpox,Acyclovir (Oral),800 mg five times daily for 5–7 days (immunocompromised/severe cases),Start within 24–48 h of rash; adequate hydration; not required in healthy children; avoid aspirin in children,Moderate
Onychomycosis (Nail Fungus),Terbinafine (Oral),250 mg once daily for 6 weeks (fingernails) or 12 weeks (toenails),"Monitor LFTs at baseline; taste disturbance common; drug interactions (warfarin, SSRIs); avoid in hepatic disease; very high cure rate",Mild
Rheumatoid Arthritis,Methotrexate (DMARD),7.5–25 mg once weekly orally or subcutaneously,Take folic acid 5 mg/week on non-methotrexate day; avoid alcohol; monitor CBC and LFTs monthly; teratogenic,Severe
Ringworm (Tinea Corporis),Terbinafine Cream 1%,Apply once daily for 1–2 weeks,Shorter treatment course than azoles; external use only; if scalp involved — oral terbinafine required (250 mg/day for 4 weeks),Mild
Acute Respiratory Distress Syndrome,Dexamethasone,6 mg IV once daily for 10 days (if COVID-associated ARDS requiring oxygen),Proven to reduce mortality in COVID-ARDS; monitor blood glucose; not shown effective in non-COVID ARDS routinely; infection monitoring,Critical
Cystic Fibrosis,DNase (Dornase Alfa),2.5 mg nebulised once daily,Reduces mucus viscosity; must be refrigerated; clean nebuliser daily; do not mix with other drugs in nebuliser,Severe
Pulmonary Fibrosis (Idiopathic),Pirfenidone,"267 mg three times daily (week 1), titrate to 801 mg three times daily over 3 weeks",Photosensitivity (use sunscreen); GI side effects; liver function monitoring; avoid smoking; dose reduce for GI intolerance,Severe
Osteoarthritis,Celecoxib (COX-2 inhibitor),100–200 mg once or twice daily,Less GI risk than traditional NSAIDs; avoid in cardiovascular disease; monitor blood pressure,Moderate
Fibromyalgia,Duloxetine (SNRI),30 mg once daily for 1 week then 60 mg once daily,Monitor for mood changes; do not stop abruptly; sexual dysfunction; liver disease caution; allow 4–8 weeks for effect,Moderate
Down Syndrome,Amoxicillin (Respiratory Infections),40–45 mg/kg/day in 3 divided doses,Frequent respiratory infections in DS; check penicillin allergy; complete full course; vaccinations up to date,Mild
Sciatica,Gabapentin,300 mg at night; increase to 300–600 mg three times daily,Neuropathic pain; dizziness and somnolence; taper on discontinuation; dose reduce in renal failure; abuse potential,Moderate
Scabies,Permethrin 5% Cream,Apply from neck down overnight (8–10 hours); wash off; repeat after 1 week,Treat all household and close contacts simultaneously; wash all clothing and bedding in hot water; itch may continue 2–4 weeks after treatment,Mild
Bronchitis,Salbutamol Inhaler,100–200 mcg (1–2 puffs) every 4–6 hours as needed,Helps with bronchospasm; not an antibiotic; most acute bronchitis is viral,Mild
Malaria,Artemether-Lumefantrine,4 tablets (80/480 mg) twice daily for 3 days,Take with food; avoid fatty meals; complete full course; monitor for neurological symptoms,Moderate
Septic Shock,Piperacillin-Tazobactam (Empiric Antibiotics),4.5 g IV every 6 hours (first-line broad-spectrum),Start within 1 hour of diagnosis; take cultures before starting; de-escalate based on culture sensitivities; monitor renal function,Critical
Asthma,Prednisolone (oral),40–60 mg once daily for 3–5 days (acute exacerbation),Short-course only; monitor blood glucose; do not stop abruptly after long use,Severe
Whooping Cough (Pertussis),Azithromycin,500 mg day 1 then 250 mg days 2–5 (adults); 10 mg/kg/day for 5 days (children),Most effective if given in catarrhal phase; reduces transmission but limited symptom benefit after paroxysmal phase; treat close contacts; QT prolongation risk,Moderate
Dehydration,Oral Rehydration Salts (ORS),200–400 mL every 1–2 hours for mild dehydration,First-line for mild-moderate dehydration; IV fluids for severe; monitor urine output; address underlying cause,Mild
Gout,Allopurinol (Urate-Lowering),100–300 mg once daily (start 2–4 weeks after acute attack),Do not start during acute attack; titrate to serum urate <360 μmol/L; start with colchicine cover; serious rash risk (Stevens-Johnson),Mild
Rotator Cuff Injury,Ibuprofen,400 mg three times daily with food,For pain and inflammation; combine with physiotherapy; avoid overhead activities; short-term use; add PPI if GI risk,Mild
Systemic Lupus Erythematosus,Hydroxychloroquine,200–400 mg daily (max 5 mg/kg/day),Baseline and annual ophthalmology exam; reduces disease flares; safe in pregnancy; avoid in retinal disease,Moderate
Chronic Kidney Disease,Erythropoiesis-Stimulating Agent (Erythropoietin),50–150 units/kg subcutaneously 3 times weekly,Target Hb 10–12 g/dL; risk of hypertension and thrombosis if over-corrected; ensure iron sufficiency before use,Severe
Hepatitis B,Tenofovir Disoproxil Fumarate (TDF),300 mg once daily,Monitor renal function and bone density; long-term therapy; do not stop abruptly (risk of flare); HBsAg monitoring,Severe
Hypertension,Hydrochlorothiazide,12.5–25 mg once daily,Monitor electrolytes; may worsen gout; check renal function periodically,Moderate
Polycystic Kidney Disease,Ramipril,5–10 mg once daily (for hypertension and renoprotection),ACE inhibitor to slow CKD progression; monitor creatinine and potassium; avoid in bilateral renal artery stenosis; first-line antihypertensive in PKD,Moderate
Huntington's Disease,Tetrabenazine,12.5 mg once daily; titrate to 25–100 mg/day in divided doses,For chorea; risk of depression and suicidality — screen carefully; sedation; reduce dose in CYP2D6 poor metabolisers; avoid in depression without treatment,Severe
Glaucoma,Latanoprost Eye Drops 0.005%,1 drop in affected eye(s) once daily at bedtime,May permanently change iris/eyelid colour; can cause eyelash growth; refrigerate unopened bottles; remove contact lenses before instilling,Moderate
Macular Degeneration (AMD),AREDS2 Supplements (Dry AMD),Vitamin C 500mg + Vitamin E 400IU + Zinc 80mg + Copper 2mg + Lutein 10mg + Zeaxanthin 2mg daily,For intermediate/advanced dry AMD; does not cure; reduces progression risk by 25%; do not take if current smoker (beta-carotene formulation increases lung cancer risk),Moderate
Cataract,Phacoemulsification Surgery (Definitive),Surgical removal of cloudy lens with artificial IOL implant,Definitive treatment — no eye drops cure cataracts; post-op steroid and antibiotic drops for 4 weeks; avoid eye rubbing and swimming for 4 weeks,Moderate
Nephrotic Syndrome,Enalapril (Antiproteinuric),0.1–0.5 mg/kg/day,Reduces proteinuria regardless of BP; monitor potassium and creatinine; avoid in bilateral renal artery stenosis; contraindicated in pregnancy,Moderate
Alcohol Use Disorder,Acamprosate,666 mg (2 tablets) three times daily with meals (renal function permitting),Start after detox; multiple daily doses can reduce compliance; GI side effects; reduces craving but not withdrawal,Moderate
Major Depressive Disorder,Venlafaxine (SNRI),75–225 mg once daily (extended release),Monitor blood pressure; discontinuation syndrome if stopped abruptly; nausea common initially; useful for comorbid anxiety,Moderate
Crohn's Disease,Infliximab (Anti-TNF),"5 mg/kg IV at weeks 0, 2, 6 then every 8 weeks",Screen for TB and hepatitis B before use; risk of serious infection; no live vaccines; specialist centre only,Severe
Pulmonary Embolism,Unfractionated Heparin (UFH) IV,80 units/kg IV bolus then 18 units/kg/hr infusion (massive PE),Monitor aPTT every 6 hours; risk of HIT (check platelet count); reversal with protamine sulfate; inpatient use only,Critical
Polycystic Ovary Syndrome,Metformin,500 mg twice daily with meals; increase to 1000–1500 mg/day,Improves insulin sensitivity; may restore regular periods; GI side effects initially; check renal function,Mild
